['Error: 401 Client Error: Unauthorized for url: https://query1.finance.yahoo.com/v10/finance/quoteSummary/MSFT?modules=financialData']
         148084 function calls (143430 primitive calls) in 0.777 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.192    0.192    0.192    0.192 {method 'read' of '_ssl._SSLSocket' objects}
   460/75    0.035    0.000    0.128    0.002 _parser.py:512(_parse)
        1    0.031    0.031    0.031    0.031 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.030    0.030    0.030    0.030 {method 'connect' of '_socket.socket' objects}
        1    0.026    0.026    0.026    0.026 {built-in method _socket.getaddrinfo}
13755/12735    0.020    0.000    0.022    0.000 {built-in method builtins.len}
   831/70    0.019    0.000    0.064    0.001 _compiler.py:37(_compile)
     6493    0.017    0.000    0.026    0.000 _parser.py:261(get)
    12537    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
     5896    0.017    0.000    0.025    0.000 _parser.py:168(__getitem__)
        1    0.016    0.016    0.016    0.016 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
10840/10836    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
     8359    0.012    0.000    0.012    0.000 _parser.py:240(__next)
     1940    0.011    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      139    0.011    0.000    0.011    0.000 {built-in method marshal.loads}
      364    0.009    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
     4037    0.008    0.000    0.010    0.000 _parser.py:256(match)
      415    0.008    0.000    0.015    0.000 _compiler.py:243(_optimize_charset)
       16    0.007    0.000    0.022    0.001 enum.py:1708(convert_class)
     4251    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     2203    0.006    0.000    0.009    0.000 _parser.py:164(__len__)
     4183    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
  439/435    0.006    0.000    0.055    0.000 {built-in method builtins.__build_class__}
  915/157    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
      737    0.005    0.000    0.005    0.000 {built-in method posix.stat}
   342/70    0.005    0.000    0.129    0.002 _parser.py:452(_parse_sub)
      187    0.004    0.000    0.060    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
2377/2309    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     1407    0.004    0.000    0.006    0.000 _parser.py:293(tell)
       10    0.004    0.000    0.029    0.003 enum.py:919(_convert_)
     2410    0.003    0.000    0.004    0.000 {built-in method builtins.getattr}
     1238    0.003    0.000    0.005    0.000 _parser.py:176(append)
      209    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
     2228    0.003    0.000    0.003    0.000 {built-in method builtins.ord}
     2038    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1109    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
      278    0.003    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      139    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    189/2    0.003    0.000    0.484    0.242 <frozen importlib._bootstrap>:1349(_find_and_load)
  604/578    0.003    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
     1851    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      415    0.003    0.000    0.005    0.000 _compiler.py:216(_compile_charset)
      166    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      209    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
      139    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     1754    0.002    0.000    0.002    0.000 {method 'isupper' of 'str' objects}
      9/7    0.002    0.000    0.006    0.001 {built-in method _imp.create_dynamic}
      169    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
      139    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
     1519    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      734    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1453    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1085    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
    188/2    0.002    0.000    0.483    0.242 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      154    0.002    0.000    0.007    0.000 typing.py:175(_type_check)
      713    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      140    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      713    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1252    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      183    0.002    0.000    0.002    0.000 _parser.py:372(_escape)
      478    0.002    0.000    0.006    0.000 _compiler.py:398(_simple)
      417    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      209    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    166/2    0.002    0.000    0.482    0.241 <frozen importlib._bootstrap>:911(_load_unlocked)
      474    0.002    0.000    0.003    0.000 enum.py:1544(_get_value)
     1170    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      439    0.002    0.000    0.003    0.000 socket.py:89(<lambda>)
      438    0.002    0.000    0.003    0.000 socket.py:84(<lambda>)
      437    0.002    0.000    0.003    0.000 socket.py:79(<lambda>)
      440    0.002    0.000    0.003    0.000 socket.py:94(<lambda>)
      299    0.002    0.000    0.003    0.000 enum.py:38(_is_descriptor)
      471    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      318    0.002    0.000    0.003    0.000 enum.py:79(_is_private)
     1109    0.002    0.000    0.002    0.000 {built-in method _imp.release_lock}
       16    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
       74    0.001    0.000    0.213    0.003 __init__.py:280(_compile)
     1011    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       65    0.001    0.000    0.003    0.000 functools.py:35(update_wrapper)
    380/4    0.001    0.000    0.481    0.120 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      368    0.001    0.000    0.002    0.000 typing.py:1134(_is_dunder)
       70    0.001    0.000    0.009    0.000 _compiler.py:511(_compile_info)
      186    0.001    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
      209    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      353    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
  166/162    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      140    0.001    0.000    0.004    0.000 enum.py:1562(__and__)
        1    0.001    0.001    0.009    0.009 packages.py:1(<module>)
      139    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      556    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      343    0.001    0.000    0.003    0.000 typing.py:1188(__setattr__)
      425    0.001    0.000    0.002    0.000 typing.py:935(__eq__)
      148    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
      187    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:445(cb)
      311    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      531    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      209    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
        9    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      278    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       70    0.001    0.000    0.206    0.003 _compiler.py:740(compile)
      187    0.001    0.000    0.002    0.000 __init__.py:101(find_spec)
