('Total Revenue', '281,724,000,000', '245,122,000,000', '211,915,000,000', '198,270,000,000')
         801417 function calls (769620 primitive calls) in 18.461 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   15.859    7.929   15.859    7.930 {built-in method curl_cffi._wrapper.curl_easy_perform}
 4698/245    0.116    0.000    0.508    0.002 _parser.py:512(_parse)
 5370/235    0.114    0.000    0.291    0.001 _compiler.py:37(_compile)
75209/68825    0.109    0.000    0.125    0.000 {built-in method builtins.len}
77654/77646    0.108    0.000    0.121    0.000 {built-in method builtins.isinstance}
    77048    0.103    0.000    0.103    0.000 {method 'append' of 'list' objects}
    27944    0.077    0.000    0.116    0.000 _parser.py:168(__getitem__)
      646    0.060    0.000    0.060    0.000 {built-in method marshal.loads}
    16420    0.046    0.000    0.069    0.000 _parser.py:261(get)
    29300    0.040    0.000    0.040    0.000 {method 'startswith' of 'str' objects}
 5395/497    0.040    0.000    0.065    0.000 _parser.py:178(getwidth)
     6076    0.036    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    24506    0.034    0.000    0.034    0.000 _parser.py:240(__next)
 1256/235    0.032    0.000    0.512    0.002 _parser.py:452(_parse_sub)
    11784    0.031    0.000    0.047    0.000 _parser.py:164(__len__)
      453    0.028    0.000    0.079    0.000 textwrap.py:419(dedent)
19201/19197    0.028    0.000    0.031    0.000 {built-in method builtins.getattr}
     1122    0.026    0.000    0.131    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    11508    0.025    0.000    0.034    0.000 _parser.py:256(match)
     1639    0.024    0.000    0.079    0.000 <frozen importlib._bootstrap>:304(acquire)
      646    0.024    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
1686/1665    0.023    0.000    0.619    0.000 {built-in method builtins.__build_class__}
        1    0.022    0.022    0.401    0.401 dammit.py:128(_populate_class_variables)
     2987    0.021    0.000    0.021    0.000 {built-in method posix.stat}
    14852    0.021    0.000    0.021    0.000 {built-in method builtins.min}
      757    0.021    0.000    0.045    0.000 enum.py:254(__set_name__)
     7458    0.020    0.000    0.030    0.000 _parser.py:176(append)
      808    0.020    0.000    0.036    0.000 _compiler.py:243(_optimize_charset)
    73/70    0.019    0.000    0.036    0.001 {built-in method _imp.create_dynamic}
    13571    0.019    0.000    0.019    0.000 {method 'rstrip' of 'str' objects}
      785    0.018    0.000    0.216    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1639    0.018    0.000    0.030    0.000 <frozen importlib._bootstrap>:372(release)
11878/11844    0.018    0.000    0.047    0.000 {built-in method builtins.hasattr}
     8633    0.015    0.000    0.020    0.000 {method 'join' of 'str' objects}
     3924    0.015    0.000    0.024    0.000 typing.py:1134(_is_dunder)
      648    0.014    0.000    0.028    0.000 functools.py:35(update_wrapper)
     5553    0.014    0.000    0.014    0.000 {built-in method _imp.acquire_lock}
      420    0.014    0.000    0.031    0.000 typing.py:262(_collect_parameters)
      166    0.014    0.000    0.042    0.000 _compiler.py:467(_get_charset_prefix)
      887    0.013    0.000    0.043    0.000 enum.py:390(__setitem__)
     1292    0.013    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
    796/2    0.013    0.000    2.461    1.231 <frozen importlib._bootstrap>:1349(_find_and_load)
    73/45    0.012    0.000    0.121    0.003 {built-in method _imp.exec_dynamic}
     8660    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
      651    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
      747    0.012    0.000    0.058    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     1499    0.012    0.000    0.013    0.000 {method 'sub' of 're.Pattern' objects}
     8809    0.012    0.000    0.012    0.000 {built-in method builtins.ord}
      646    0.011    0.000    0.192    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     6552    0.011    0.000    0.017    0.000 {built-in method builtins.setattr}
     3912    0.011    0.000    0.016    0.000 _parser.py:293(tell)
     5160    0.011    0.000    0.019    0.000 {built-in method builtins.max}
      646    0.011    0.000    0.011    0.000 {built-in method _io.open_code}
     3452    0.011    0.000    0.032    0.000 typing.py:1188(__setattr__)
      954    0.011    0.000    0.032    0.000 typing.py:175(_type_check)
      511    0.010    0.000    0.086    0.000 typing.py:1242(__init__)
      475    0.010    0.000    0.019    0.000 css_types.py:37(__init__)
3698/2939    0.010    0.000    0.056    0.000 {built-in method __new__ of type object at 0xa44b40}
    794/2    0.010    0.000    2.461    1.231 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     1639    0.010    0.000    0.020    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     1639    0.010    0.000    0.021    0.000 <frozen importlib._bootstrap>:124(setdefault)
     6466    0.009    0.000    0.009    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     6468    0.009    0.000    0.009    0.000 {method 'endswith' of 'str' objects}
     1300    0.008    0.000    0.912    0.001 __init__.py:280(_compile)
